field,age_floor,age_ceiling,sex,n,mean,sd
cranbasewidth,30,31,3,85,143.79,6.95
upfacedepth_r,30,31,1,37,128.44,4.29
upfacedepth_r,30,31,3,85,123.11,6.37
upfacedepth_l,30,31,1,37,128.31,4.94
upfacedepth_l,30,31,3,85,122.93,6.72
midfacedepth_r,30,31,1,37,134.35,4.53
midfacedepth_r,30,31,3,85,128.17,7.02
midfacedepth_l,30,31,1,37,134.28,5.34
midfacedepth_l,30,31,3,85,127.87,7.41
lowfacedepth_r,30,31,1,34,153.32,5.77
lowfacedepth_r,30,31,3,82,144.91,9.38
lowfacedepth_l,30,31,1,34,153.06,5.85
lowfacedepth_l,30,31,3,82,144.73,9.44
morphfaceheight,30,31,1,34,129.85,6.74
morphfaceheight,30,31,3,82,122.59,8.56
upfaceheight,30,31,1,37,79.42,4.99
upfaceheight,30,31,3,85,76,5.29
lowfaceheight,30,31,1,34,75.18,4.69
lowfaceheight,30,31,3,82,70.08,6.3
incanthwidth,30,31,1,37,32.62,2.79
incanthwidth,30,31,3,85,32.25,2.69
outcanthwidth,30,31,1,37,88.82,3.48
outcanthwidth,30,31,3,85,86.89,4.54
palpfislength_r,30,31,1,37,28.9,1.8
palpfislength_r,30,31,3,85,28.09,2.32
palpfislength_l,30,31,1,37,28.51,1.98
palpfislength_l,30,31,3,85,27.75,2.2
nasalwidth,30,31,1,37,36.5,2.49
nasalwidth,30,31,3,85,34.47,3.1
subnasalwidth,30,31,1,37,20.22,2.08
subnasalwidth,30,31,3,85,18.76,2.82
nasalpro,30,31,1,37,21.2,1.87
nasalpro,30,31,3,85,20.6,1.89
nasalalalength_r,30,31,1,37,35.94,1.61
nasalalalength_r,30,31,3,85,33.63,2.71
nasalalalength_l,30,31,1,37,35.67,1.74
nasalalalength_l,30,31,3,84,33.64,2.62
nasalheight,30,31,1,37,57.32,3.95
nasalheight,30,31,3,85,55.11,4.23
nasalbdglength,30,31,1,37,50.46,3.66
nasalbdglength,30,31,3,85,48.33,4.09
labfiswidth,30,31,1,37,51.34,3.33
labfiswidth,30,31,3,85,49.6,3.82
philwidth,30,31,1,37,13.19,1.65
philwidth,30,31,3,85,12.39,1.82
phillength,30,31,1,37,17.09,2.4
phillength,30,31,3,85,15.77,2.53
uplipheight,30,31,1,37,23.36,2.58
uplipheight,30,31,3,85,21.96,2.62
lowlipheight,30,31,1,36,20.46,3.44
lowlipheight,30,31,3,84,18.61,3.3
upvermheight,30,31,1,37,7.49,1.54
upvermheight,30,31,3,85,7.43,1.31
lowvermheight,30,31,1,37,9.35,3.17
lowvermheight,30,31,3,85,8.8,2.47
cutlowlipheight,30,31,1,36,13.22,2.19
cutlowlipheight,30,31,3,84,11.76,2.54
maxcranwidth,30,31,2,48,146.9,4.95
minfrntwidth,30,31,2,48,106.96,8.1
maxfacewidth,30,31,2,45,130.89,5.28
mandwidth,30,31,2,47,97.74,5.67
mandwidth,30,31,3,82,100.94,8.11
maxcranlength,30,31,2,48,188.17,5.7
cranbasewidth,30,31,2,48,139.87,5.24
upfacedepth_r,30,31,2,48,119,4.35
upfacedepth_l,30,31,2,48,118.79,4.66
midfacedepth_r,30,31,2,48,123.41,4.37
midfacedepth_l,30,31,2,48,122.92,4.36
lowfacedepth_r,30,31,2,48,138.95,6.4
lowfacedepth_l,30,31,2,48,138.84,6.63
morphfaceheight,30,31,2,48,117.45,5.4
upfaceheight,30,31,2,48,73.36,3.82
lowfaceheight,30,31,2,48,66.47,4.56
incanthwidth,30,31,2,48,31.96,2.61
outcanthwidth,30,31,2,48,85.4,4.72
palpfislength_r,30,31,2,48,27.46,2.49
palpfislength_l,30,31,2,48,27.17,2.21
nasalwidth,30,31,2,48,32.91,2.58
subnasalwidth,30,31,2,48,17.64,2.81
nasalpro,30,31,2,48,20.14,1.79
nasalalalength_r,30,31,2,48,31.85,1.91
nasalalalength_l,30,31,2,47,32.04,2.03
nasalheight,30,31,2,48,53.4,3.63
nasalbdglength,30,31,2,48,46.68,3.64
labfiswidth,30,31,2,48,48.26,3.66
philwidth,30,31,2,48,11.78,1.71
phillength,30,31,2,48,14.76,2.14
uplipheight,30,31,2,48,20.88,2.09
lowlipheight,30,31,2,48,17.22,2.42
upvermheight,30,31,2,48,7.39,1.13
lowvermheight,30,31,2,48,8.38,1.67
cutlowlipheight,30,31,2,48,10.66,2.23
mandwidth,30,31,1,35,105.23,8.96
maxcranwidth,31,33,2,86,146.36,5.34
maxcranwidth,31,33,3,115,147.51,6.01
minfrntwidth,31,33,2,86,105.99,8.07
minfrntwidth,31,33,3,115,106.82,8.34
maxfacewidth,31,33,2,82,131.54,5.16
maxfacewidth,31,33,3,109,132.94,6.02
mandwidth,31,33,2,86,97.07,6.97
mandwidth,31,33,3,114,98.82,7.6
maxcranlength,31,33,2,86,187.5,6.4
maxcranlength,31,33,3,115,190.6,8.47
cranbasewidth,31,33,2,86,140.65,5.2
cranbasewidth,31,33,3,115,142.4,5.96
upfacedepth_r,31,33,2,87,120.29,4.48
upfacedepth_r,31,33,3,116,121.67,4.99
upfacedepth_l,31,33,2,87,119.77,4.51
upfacedepth_l,31,33,3,116,121.23,5.02
midfacedepth_r,31,33,2,87,124.58,4.56
midfacedepth_r,31,33,3,116,126.61,5.73
midfacedepth_l,31,33,2,87,124.04,4.78
midfacedepth_l,31,33,3,116,126.06,5.86
lowfacedepth_r,31,33,2,87,140.45,6.33
lowfacedepth_r,31,33,3,113,143.23,7.99
lowfacedepth_l,31,33,2,87,140.18,6.45
lowfacedepth_l,31,33,3,113,142.77,7.86
morphfaceheight,31,33,2,88,119.32,5.58
morphfaceheight,31,33,3,114,121.11,7.08
upfaceheight,31,33,2,88,75.05,4.12
upfaceheight,31,33,3,117,76.07,4.59
lowfaceheight,31,33,2,88,66.54,4.15
lowfaceheight,31,33,3,114,68.06,5.66
incanthwidth,31,33,2,88,31.98,2.43
incanthwidth,31,33,3,116,32.08,2.57
outcanthwidth,31,33,2,87,85.64,4.12
outcanthwidth,31,33,3,115,86.31,4.32
palpfislength_r,31,33,2,87,27.66,1.89
palpfislength_r,31,33,3,115,27.97,2.04
palpfislength_l,31,33,2,87,27.42,2.11
palpfislength_l,31,33,3,115,27.65,2.13
nasalwidth,31,33,2,88,33.06,2.14
nasalwidth,31,33,3,117,33.62,2.39
subnasalwidth,31,33,2,88,17.61,2.18
subnasalwidth,31,33,3,116,17.98,2.43
nasalpro,31,33,2,88,20.17,1.88
nasalpro,31,33,3,117,20.36,1.95
nasalalalength_r,31,33,2,88,31.65,1.93
nasalalalength_r,31,33,3,117,32.63,2.54
nasalalalength_l,31,33,2,88,31.83,2.03
nasalalalength_l,31,33,3,117,32.8,2.6
nasalheight,31,33,2,88,55.13,3.9
nasalheight,31,33,3,117,55.5,3.99
nasalbdglength,31,33,2,88,47.86,3.53
nasalbdglength,31,33,3,117,48.46,3.77
labfiswidth,31,33,2,88,48.38,3.15
labfiswidth,31,33,3,117,48.73,3.4
philwidth,31,33,2,88,11.72,1.76
philwidth,31,33,3,115,12.11,1.86
phillength,31,33,2,88,14.91,2.25
phillength,31,33,3,117,15.58,2.5
uplipheight,31,33,2,88,20.88,2.06
uplipheight,31,33,3,117,21.54,2.35
lowlipheight,31,33,2,88,17.45,2.39
lowlipheight,31,33,3,115,17.94,2.75
upvermheight,31,33,2,88,7.15,1.33
upvermheight,31,33,3,117,7.1,1.39
lowvermheight,31,33,2,88,7.85,2.02
lowvermheight,31,33,3,117,7.94,2.18
cutlowlipheight,31,33,2,88,11.06,2.05
cutlowlipheight,31,33,3,115,11.55,2.38
maxcranwidth,31,33,1,29,150.93,6.66
minfrntwidth,31,33,1,29,109.28,8.81
maxfacewidth,31,33,1,27,137.19,6.54
maxcranlength,31,33,1,29,199.79,7.11
cranbasewidth,31,33,1,29,147.6,4.99
upfacedepth_r,31,33,1,29,125.84,4.11
upfacedepth_l,31,33,1,29,125.62,3.8
midfacedepth_r,31,33,1,29,132.71,4.47
midfacedepth_l,31,33,1,29,132.11,4.49
lowfacedepth_r,31,33,1,26,152.56,5.54
lowfacedepth_l,31,33,1,26,151.43,5.7
morphfaceheight,31,33,1,26,127.17,8.31
upfaceheight,31,33,1,29,79.16,4.64
lowfaceheight,31,33,1,26,73.21,7.02
incanthwidth,31,33,1,28,32.37,2.97
outcanthwidth,31,33,1,28,88.37,4.37
palpfislength_r,31,33,1,28,28.94,2.2
palpfislength_l,31,33,1,28,28.37,2.07
nasalwidth,31,33,1,29,35.32,2.33
subnasalwidth,31,33,1,28,19.16,2.81
nasalpro,31,33,1,29,20.92,2.06
nasalalalength_r,31,33,1,29,35.58,1.75
nasalalalength_l,31,33,1,29,35.71,1.87
nasalheight,31,33,1,29,56.64,4.11
nasalbdglength,31,33,1,29,50.27,3.98
labfiswidth,31,33,1,29,49.78,3.95
philwidth,31,33,1,27,13.4,1.58
phillength,31,33,1,29,17.6,2.15
uplipheight,31,33,1,29,23.56,2.04
lowlipheight,31,33,1,27,19.55,3.26
upvermheight,31,33,1,29,6.93,1.57
lowvermheight,31,33,1,29,8.21,2.62
cutlowlipheight,31,33,1,27,13.14,2.7
mandwidth,31,33,1,28,104.18,7.03
maxcranwidth,33,35,2,63,145.48,6.13
maxcranwidth,33,35,3,82,146.89,6.94
minfrntwidth,33,35,2,63,106.27,8.05
minfrntwidth,33,35,3,82,108.22,9.84
maxfacewidth,33,35,2,58,130.26,5.3
maxfacewidth,33,35,3,75,131.99,6.87
mandwidth,33,35,2,63,98.57,7.31
mandwidth,33,35,3,83,99.4,8.3
maxcranlength,33,35,2,63,186.63,5.97
maxcranlength,33,35,3,83,188.67,7.96
cranbasewidth,33,35,2,67,139.41,4.51
cranbasewidth,33,35,3,87,141.48,6.35
upfacedepth_r,33,35,2,68,119.19,4.81
upfacedepth_r,33,35,3,88,120.75,5.68
upfacedepth_l,33,35,2,67,118.66,5.01
upfacedepth_l,33,35,3,87,120.33,5.94
midfacedepth_r,33,35,2,68,123.52,4.38
midfacedepth_r,33,35,3,88,125.62,5.9
midfacedepth_l,33,35,2,67,122.54,4.73
midfacedepth_l,33,35,3,87,124.74,6.28
lowfacedepth_r,33,35,2,68,140.12,5.49
lowfacedepth_r,33,35,3,88,142.59,7.28
lowfacedepth_l,33,35,2,67,139.62,5.27
lowfacedepth_l,33,35,3,87,142.07,7.19
morphfaceheight,33,35,2,68,119.59,6.12
morphfaceheight,33,35,3,88,121.44,6.85
upfaceheight,33,35,2,68,75.22,4.15
upfaceheight,33,35,3,88,76.02,4.29
lowfaceheight,33,35,2,68,66.77,5.16
lowfaceheight,33,35,3,88,68.4,5.89
incanthwidth,33,35,2,67,30.78,2.64
incanthwidth,33,35,3,87,30.98,3
outcanthwidth,33,35,2,67,84.8,3.47
outcanthwidth,33,35,3,86,85.61,3.91
palpfislength_r,33,35,2,66,27.76,1.89
palpfislength_r,33,35,3,85,28.03,1.97
palpfislength_l,33,35,2,67,27.68,2.09
palpfislength_l,33,35,3,86,27.98,2.07
nasalwidth,33,35,2,68,32.79,2.39
nasalwidth,33,35,3,88,33.49,2.72
subnasalwidth,33,35,2,68,17.97,2.39
subnasalwidth,33,35,3,88,18.28,2.54
nasalpro,33,35,2,68,20.35,1.98
nasalpro,33,35,3,88,20.38,1.95
nasalalalength_r,33,35,2,67,31.57,2.01
nasalalalength_r,33,35,3,87,32.47,2.6
nasalalalength_l,33,35,2,68,31.66,1.8
nasalalalength_l,33,35,3,88,32.55,2.49
nasalheight,33,35,2,68,55.05,3.9
nasalheight,33,35,3,88,55.44,3.91
nasalbdglength,33,35,2,68,47.51,3.85
nasalbdglength,33,35,3,88,48.25,4.11
labfiswidth,33,35,2,68,48.33,4.15
labfiswidth,33,35,3,88,49.4,4.59
philwidth,33,35,2,68,11.87,1.79
philwidth,33,35,3,88,12.21,1.83
phillength,33,35,2,68,15.21,2.04
phillength,33,35,3,88,15.67,2.24
uplipheight,33,35,2,68,20.99,2.03
uplipheight,33,35,3,88,21.5,2.27
lowlipheight,33,35,2,68,17.4,2.09
lowlipheight,33,35,3,88,17.74,2.2
upvermheight,33,35,2,68,6.88,1.32
upvermheight,33,35,3,88,7.01,1.42
lowvermheight,33,35,2,68,7.61,1.65
lowvermheight,33,35,3,88,7.75,1.75
cutlowlipheight,33,35,2,68,11.36,1.95
cutlowlipheight,33,35,3,88,11.69,2.08
maxcranwidth,33,35,1,19,151.58,7.57
minfrntwidth,33,35,1,19,114.68,12.46
maxfacewidth,33,35,1,17,137.88,8.38
mandwidth,33,35,1,20,102,10.64
maxcranlength,33,35,1,20,195.1,9.99
cranbasewidth,33,35,1,20,148.4,6.78
upfacedepth_r,33,35,1,20,126.08,5.22
upfacedepth_l,33,35,1,20,125.93,5.43
midfacedepth_r,33,35,1,20,132.77,4.71
midfacedepth_l,33,35,1,20,132.11,5.12
lowfacedepth_r,33,35,1,20,150.98,6.35
lowfacedepth_l,33,35,1,20,150.28,6.75
morphfaceheight,33,35,1,20,127.74,5.34
upfaceheight,33,35,1,20,78.75,3.64
lowfaceheight,33,35,1,20,73.95,4.78
incanthwidth,33,35,1,20,31.63,3.98
outcanthwidth,33,35,1,19,88.46,4.13
palpfislength_r,33,35,1,19,28.99,2.02
palpfislength_l,33,35,1,19,29.07,1.61
nasalwidth,33,35,1,20,35.89,2.46
subnasalwidth,33,35,1,20,19.35,2.77
nasalpro,33,35,1,20,20.49,1.92
nasalalalength_r,33,35,1,20,35.49,2.02
nasalalalength_l,33,35,1,20,35.6,2.05
nasalheight,33,35,1,20,56.79,3.71
nasalbdglength,33,35,1,20,50.77,4.04
labfiswidth,33,35,1,20,53.02,4.25
philwidth,33,35,1,20,13.34,1.53
phillength,33,35,1,20,17.23,2.25
uplipheight,33,35,1,20,23.21,2.27
lowlipheight,33,35,1,20,18.9,2.23
upvermheight,33,35,1,20,7.44,1.68
lowvermheight,33,35,1,20,8.23,2.04
cutlowlipheight,33,35,1,20,12.83,2.16
maxcranwidth,35,37,2,57,144.12,5.41
maxcranwidth,35,37,3,81,146.72,6.85
minfrntwidth,35,37,2,57,104.4,8.29
minfrntwidth,35,37,3,81,106.56,8.93
maxfacewidth,35,37,2,55,129.29,5.83
maxfacewidth,35,37,3,79,132.92,8.2
mandwidth,35,37,2,56,97.02,6.4
mandwidth,35,37,3,79,99.86,7.73
maxcranlength,35,37,2,56,187.02,5.71
maxcranlength,35,37,3,80,190.91,8.81
cranbasewidth,35,37,2,58,139.67,4.85
cranbasewidth,35,37,3,81,142.59,7.4
upfacedepth_r,35,37,2,59,118.61,4.23
upfacedepth_r,35,37,3,83,121.6,6.69
upfacedepth_l,35,37,2,58,118.72,4.48
upfacedepth_l,35,37,3,82,121.7,6.83
midfacedepth_r,35,37,2,59,123.41,4.29
midfacedepth_r,35,37,3,83,126.71,7.16
midfacedepth_l,35,37,2,58,123.34,4.45
midfacedepth_l,35,37,3,82,126.61,7.16
lowfacedepth_r,35,37,2,58,139.88,5.01
lowfacedepth_r,35,37,3,82,143.76,8.37
lowfacedepth_l,35,37,2,57,139.62,5.3
lowfacedepth_l,35,37,3,81,143.68,9.02
morphfaceheight,35,37,2,59,117.89,5.24
morphfaceheight,35,37,3,84,121.22,7.82
upfaceheight,35,37,2,60,73.83,3.79
upfaceheight,35,37,3,85,75.63,4.77
lowfaceheight,35,37,2,59,65.97,5.05
lowfaceheight,35,37,3,84,68.59,6.7
incanthwidth,35,37,2,60,30.8,2.9
incanthwidth,35,37,3,85,31.63,3.1
outcanthwidth,35,37,2,59,84.73,3.42
outcanthwidth,35,37,3,83,86.15,4.19
palpfislength_r,35,37,2,59,27.7,1.8
palpfislength_r,35,37,3,83,28,1.87
palpfislength_l,35,37,2,59,27.7,1.89
palpfislength_l,35,37,3,83,28.01,1.89
nasalwidth,35,37,2,60,33.05,2.46
nasalwidth,35,37,3,85,33.98,3.08
subnasalwidth,35,37,2,60,18.01,2.62
subnasalwidth,35,37,3,85,18.51,2.94
nasalpro,35,37,2,60,20.83,1.68
nasalpro,35,37,3,85,20.83,1.76
nasalalalength_r,35,37,2,60,32.35,1.77
nasalalalength_r,35,37,3,85,33.26,2.42
nasalalalength_l,35,37,2,60,32.59,1.8
nasalalalength_l,35,37,3,85,33.45,2.46
nasalheight,35,37,2,60,54.24,3.65
nasalheight,35,37,3,85,55.07,3.81
nasalbdglength,35,37,2,60,47.2,3.38
nasalbdglength,35,37,3,85,48.06,3.75
labfiswidth,35,37,2,60,49.24,4.01
labfiswidth,35,37,3,85,50.05,4.04
philwidth,35,37,2,60,11.97,1.82
philwidth,35,37,3,85,12.33,1.84
phillength,35,37,2,60,14.77,2.2
phillength,35,37,3,85,15.81,2.76
uplipheight,35,37,2,60,20.54,2.21
uplipheight,35,37,3,85,21.54,2.74
lowlipheight,35,37,2,60,17.39,2.05
lowlipheight,35,37,3,85,18.16,2.62
upvermheight,35,37,2,60,6.78,1.49
upvermheight,35,37,3,85,6.81,1.46
lowvermheight,35,37,2,60,7.87,1.84
lowvermheight,35,37,3,85,7.9,1.95
cutlowlipheight,35,37,2,60,10.97,2.03
cutlowlipheight,35,37,3,85,11.86,2.65
maxcranwidth,35,37,1,24,152.88,5.97
minfrntwidth,35,37,1,24,111.67,8.43
maxfacewidth,35,37,1,24,141.25,6.65
mandwidth,35,37,1,23,106.78,6.22
maxcranlength,35,37,1,24,200,8.09
cranbasewidth,35,37,1,23,149.96,7.67
upfacedepth_r,35,37,1,24,128.97,5.89
upfacedepth_l,35,37,1,24,128.92,6.13
midfacedepth_r,35,37,1,24,134.81,6.32
midfacedepth_l,35,37,1,24,134.54,6.26
lowfacedepth_r,35,37,1,24,153.13,7.42
lowfacedepth_l,35,37,1,24,153.35,8.71
morphfaceheight,35,37,1,25,129.08,7.31
upfaceheight,35,37,1,25,79.95,4.11
lowfaceheight,35,37,1,25,74.76,6.09
incanthwidth,35,37,1,25,33.63,2.65
outcanthwidth,35,37,1,24,89.62,3.95
palpfislength_r,35,37,1,24,28.71,1.89
palpfislength_l,35,37,1,24,28.77,1.72
nasalwidth,35,37,1,25,36.2,3.32
subnasalwidth,35,37,1,25,19.71,3.36
nasalpro,35,37,1,25,20.82,1.98
nasalalalength_r,35,37,1,25,35.47,2.36
nasalalalength_l,35,37,1,25,35.51,2.62
nasalheight,35,37,1,25,57.04,3.52
nasalbdglength,35,37,1,25,50.11,3.85
labfiswidth,35,37,1,25,51.97,3.48
philwidth,35,37,1,25,13.19,1.6
phillength,35,37,1,25,18.31,2.35
uplipheight,35,37,1,25,23.96,2.37
lowlipheight,35,37,1,25,20,2.94
upvermheight,35,37,1,25,6.9,1.42
lowvermheight,35,37,1,25,7.97,2.24
cutlowlipheight,35,37,1,25,14,2.77
maxcranwidth,37,39,1,24,149.67,7.14
maxcranwidth,37,39,3,74,146.23,7.1
minfrntwidth,37,39,1,23,110.83,10.33
minfrntwidth,37,39,3,73,107.77,9.4
maxfacewidth,37,39,1,23,137.26,6.96
maxfacewidth,37,39,3,71,132.31,7.12
mandwidth,37,39,1,23,101.83,9.49
mandwidth,37,39,3,73,99.04,7.74
maxcranlength,37,39,1,23,198.91,8.21
maxcranlength,37,39,3,73,190.81,9.4
cranbasewidth,37,39,1,25,147.44,6.39
cranbasewidth,37,39,3,74,141.49,7.14
upfacedepth_r,37,39,1,25,127.63,4.8
upfacedepth_r,37,39,3,75,122.53,6.06
upfacedepth_l,37,39,1,25,127.1,5.94
upfacedepth_l,37,39,3,74,121.66,6.4
midfacedepth_r,37,39,1,25,133.31,4.64
midfacedepth_r,37,39,3,75,127.02,6.51
midfacedepth_l,37,39,1,25,132.72,5.31
midfacedepth_l,37,39,3,74,126.03,6.86
lowfacedepth_r,37,39,1,21,152.28,6.83
lowfacedepth_r,37,39,3,71,143.42,7.96
lowfacedepth_l,37,39,1,21,151.97,7.15
lowfacedepth_l,37,39,3,70,142.5,8.52
morphfaceheight,37,39,1,21,128.83,6.85
morphfaceheight,37,39,3,73,122.6,7.47
upfaceheight,37,39,1,24,79.74,5.6
upfaceheight,37,39,3,76,76.9,5.14
lowfaceheight,37,39,1,21,74.46,5.03
lowfaceheight,37,39,3,73,68.97,6.24
incanthwidth,37,39,1,25,32.2,3.26
incanthwidth,37,39,3,76,32.09,3.23
outcanthwidth,37,39,1,25,88.71,4.24
outcanthwidth,37,39,3,77,86.45,4.31
palpfislength_r,37,39,1,25,29.06,1.93
palpfislength_r,37,39,3,77,27.98,2.11
palpfislength_l,37,39,1,25,28.8,1.92
palpfislength_l,37,39,3,76,27.73,2.06
nasalwidth,37,39,1,25,36.55,3.39
nasalwidth,37,39,3,77,34.32,3.03
subnasalwidth,37,39,1,25,19.68,3.31
subnasalwidth,37,39,3,77,18.43,2.75
nasalpro,37,39,1,25,20.93,1.92
nasalpro,37,39,3,77,20.71,1.99
nasalalalength_r,37,39,1,25,35.87,2.37
nasalalalength_r,37,39,3,77,33.39,2.68
nasalalalength_l,37,39,1,25,35.86,2.75
nasalalalength_l,37,39,3,77,33.48,2.69
nasalheight,37,39,1,25,56.69,4.84
nasalheight,37,39,3,77,56.01,4.23
nasalbdglength,37,39,1,25,50.43,4.55
nasalbdglength,37,39,3,77,49.04,3.9
labfiswidth,37,39,1,24,50.3,3.55
labfiswidth,37,39,3,76,48.78,3.69
philwidth,37,39,1,25,13.6,2.12
philwidth,37,39,3,77,12.27,1.95
phillength,37,39,1,25,18.3,2.64
phillength,37,39,3,77,15.94,3.05
uplipheight,37,39,1,24,24.05,2.7
uplipheight,37,39,3,76,21.79,3.1
lowlipheight,37,39,1,24,20.16,2.29
lowlipheight,37,39,3,76,18.41,2.57
upvermheight,37,39,1,24,7.06,1.92
upvermheight,37,39,3,76,7.05,1.7
lowvermheight,37,39,1,24,7.83,2.34
lowvermheight,37,39,3,76,7.93,1.95
cutlowlipheight,37,39,1,24,13.87,2.26
cutlowlipheight,37,39,3,76,12.07,2.49
maxcranwidth,37,39,2,50,144.58,6.53
minfrntwidth,37,39,2,50,106.36,8.69
maxfacewidth,37,39,2,48,129.94,5.92
mandwidth,37,39,2,50,97.76,6.51
maxcranlength,37,39,2,50,187.08,7.39
cranbasewidth,37,39,2,49,138.46,5.41
upfacedepth_r,37,39,2,50,119.98,4.93
upfacedepth_l,37,39,2,49,118.89,4.61
midfacedepth_r,37,39,2,50,123.88,4.81
midfacedepth_l,37,39,2,49,122.61,4.71
lowfacedepth_r,37,39,2,50,139.7,4.86
lowfacedepth_l,37,39,2,49,138.44,5.19
morphfaceheight,37,39,2,52,120.08,6.16
upfaceheight,37,39,2,52,75.59,4.37
lowfaceheight,37,39,2,52,66.76,5.26
incanthwidth,37,39,2,51,32.03,3.25
outcanthwidth,37,39,2,52,85.36,3.94
palpfislength_r,37,39,2,52,27.47,2
palpfislength_l,37,39,2,51,27.21,1.95
nasalwidth,37,39,2,52,33.25,2.16
subnasalwidth,37,39,2,52,17.82,2.23
nasalpro,37,39,2,52,20.61,2.03
nasalalalength_r,37,39,2,52,32.2,1.9
nasalalalength_l,37,39,2,52,32.34,1.78
nasalheight,37,39,2,52,55.68,3.91
nasalbdglength,37,39,2,52,48.37,3.4
labfiswidth,37,39,2,52,48.08,3.58
philwidth,37,39,2,52,11.64,1.51
phillength,37,39,2,52,14.81,2.56
uplipheight,37,39,2,52,20.74,2.7
lowlipheight,37,39,2,52,17.6,2.29
upvermheight,37,39,2,52,7.05,1.61
lowvermheight,37,39,2,52,7.98,1.77
cutlowlipheight,37,39,2,52,11.24,2.15
maxcranwidth,39,41,2,41,145.41,5.22
maxcranwidth,39,41,3,63,148.49,6.72
minfrntwidth,39,41,2,41,106.9,7.27
minfrntwidth,39,41,3,63,107.24,7.21
maxfacewidth,39,41,2,38,128.76,7.04
maxfacewidth,39,41,3,59,133.29,9.19
mandwidth,39,41,2,41,96.8,6.58
mandwidth,39,41,3,63,100.1,8.5
maxcranlength,39,41,2,40,185.85,8.31
maxcranlength,39,41,3,62,190.4,10.12
cranbasewidth,39,41,2,35,139.2,6.45
cranbasewidth,39,41,3,56,143.35,8.04
upfacedepth_r,39,41,2,35,118.7,5.59
upfacedepth_r,39,41,3,56,122.34,7.04
upfacedepth_l,39,41,2,38,118.11,5.42
upfacedepth_l,39,41,3,59,121.47,6.93
midfacedepth_r,39,41,2,35,122.3,6.06
midfacedepth_r,39,41,3,56,126.77,8.11
midfacedepth_l,39,41,2,38,121.62,5.71
midfacedepth_l,39,41,3,59,125.85,7.99
lowfacedepth_r,39,41,2,34,139.89,7.21
lowfacedepth_r,39,41,3,55,145.09,9.79
lowfacedepth_l,39,41,2,37,139.11,6.51
lowfacedepth_l,39,41,3,58,144.09,9.4
morphfaceheight,39,41,2,40,116.46,7.2
morphfaceheight,39,41,3,62,120.67,8.85
upfaceheight,39,41,2,40,72.77,4.91
upfaceheight,39,41,3,62,75.31,5.73
lowfaceheight,39,41,2,40,65.37,5.9
lowfaceheight,39,41,3,62,68.25,7.01
incanthwidth,39,41,2,41,31.16,2.93
incanthwidth,39,41,3,63,31.96,3.02
outcanthwidth,39,41,2,40,85.14,4.67
outcanthwidth,39,41,3,61,86.07,4.72
palpfislength_r,39,41,2,40,27.69,2.33
palpfislength_r,39,41,3,61,27.75,2.24
palpfislength_l,39,41,2,40,27.55,2.12
palpfislength_l,39,41,3,61,27.59,2.07
nasalwidth,39,41,2,41,33.08,2.87
nasalwidth,39,41,3,63,34.46,3.52
subnasalwidth,39,41,2,41,17.35,2.82
subnasalwidth,39,41,3,63,18.58,3.49
nasalpro,39,41,2,41,20.94,1.71
nasalpro,39,41,3,63,21.24,1.85
nasalalalength_r,39,41,2,41,32.18,2
nasalalalength_r,39,41,3,63,33.83,3.22
nasalalalength_l,39,41,2,41,32.44,1.93
nasalalalength_l,39,41,3,63,34.08,3.14
nasalheight,39,41,2,41,52.75,4.33
nasalheight,39,41,3,63,54.32,4.73
nasalbdglength,39,41,2,41,45.43,3.92
nasalbdglength,39,41,3,63,47.15,4.5
labfiswidth,39,41,2,40,49.11,4.06
labfiswidth,39,41,3,62,49.94,4.38
philwidth,39,41,2,40,12.18,2.02
philwidth,39,41,3,62,12.55,2.09
phillength,39,41,2,40,14.94,2.73
phillength,39,41,3,62,16.08,3.07
uplipheight,39,41,2,40,20.43,2.78
uplipheight,39,41,3,62,21.69,3.24
lowlipheight,39,41,2,40,17.03,2.64
lowlipheight,39,41,3,62,17.87,2.94
upvermheight,39,41,2,40,6.58,1.41
upvermheight,39,41,3,62,6.73,1.62
lowvermheight,39,41,2,40,7.35,1.9
lowvermheight,39,41,3,62,7.3,1.85
cutlowlipheight,39,41,2,40,11.11,2.72
cutlowlipheight,39,41,3,62,12.15,3
maxcranwidth,39,41,1,22,154.23,5.31
minfrntwidth,39,41,1,22,107.86,7.23
maxfacewidth,39,41,1,21,141.48,6.62
mandwidth,39,41,1,22,106.23,8.4
maxcranlength,39,41,1,22,198.68,7.61
cranbasewidth,39,41,1,21,150.25,5.19
upfacedepth_r,39,41,1,21,128.41,4.62
upfacedepth_l,39,41,1,21,127.54,4.98
midfacedepth_r,39,41,1,21,134.22,5.04
midfacedepth_l,39,41,1,21,133.52,5.39
lowfacedepth_r,39,41,1,21,153.5,7.26
lowfacedepth_l,39,41,1,21,152.86,6.98
morphfaceheight,39,41,1,22,128.33,5.98
upfaceheight,39,41,1,22,79.93,4
lowfaceheight,39,41,1,22,73.49,5.8
incanthwidth,39,41,1,22,33.45,2.66
outcanthwidth,39,41,1,21,87.84,4.4
palpfislength_r,39,41,1,21,27.86,2.12
palpfislength_l,39,41,1,21,27.67,2.02
nasalwidth,39,41,1,22,37.02,3.21
subnasalwidth,39,41,1,22,20.87,3.51
nasalpro,39,41,1,22,21.8,2.01
nasalalalength_r,39,41,1,22,36.89,2.81
